,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
372,Teguise,0,ES,1581364439,64,29.06,29.06,20.0,6.2
373,Mindelo,75,CV,1581364441,68,16.89,16.89,22.0,13.9
374,Kavieng,99,PG,1581364443,75,-2.57,-2.57,28.7,5.04
375,Tansen,0,NP,1581364445,86,27.87,27.87,7.26,1.38
376,Coquimbo,7,CL,1581364442,64,-29.95,-29.95,21.0,4.6
377,Lagos,0,NG,1581364274,83,6.58,6.58,29.0,1.0
378,Tateyama,20,JP,1581364450,56,34.98,34.98,5.56,4.6
379,Tres Lagoas,100,BR,1581364452,87,-20.75,-20.75,26.88,1.86
380,Strezhevoy,90,RU,1581364454,78,60.73,60.73,-12.0,5.0
381,Ternate,100,ID,1581364455,91,0.8,0.8,22.61,1.37
382,Sidhi,0,IN,1581364457,56,24.42,24.42,12.09,0.97
383,Bairiki Village,75,KI,1581364459,83,1.33,1.33,28.0,1.5
384,Evensk,0,RU,1581364461,48,61.95,61.95,-21.78,6.09
385,Pouebo,100,NC,1581364462,94,-20.4,-20.4,24.07,4.87
386,Itoman,75,JP,1581364464,62,26.12,26.12,14.0,1.0
387,Deputatsky,0,RU,1581364466,63,69.3,69.3,-35.99,0.89
388,Marabu,75,MY,1581364467,100,4.41,4.41,24.0,1.0
389,Tura,0,IN,1581364469,51,25.52,25.52,13.07,0.86
390,Ustye,100,RU,1581364471,90,59.63,59.63,-1.58,8.44
391,Lavrentiya,0,RU,1581364473,86,65.58,65.58,-28.15,0.55
392,Danilovka,13,RU,1581364474,85,50.36,50.36,-9.55,5.91
393,Republic of El Salvador,0,SV,1581364193,35,13.83,13.83,34.0,3.1
394,Waddan,11,LY,1581364478,35,29.16,29.16,13.08,1.14
395,Khanbari,0,NP,1581364480,67,27.37,27.37,0.3,1.38
396,Port Moresby,40,PG,1581364481,94,-9.44,-9.44,26.0,5.1
397,La Rioja,95,ES,1581364483,76,42.25,42.25,12.0,3.6
398,Tutoia,75,BR,1581364485,74,-2.76,-2.76,29.0,6.2
399,Balakhta,50,RU,1581364487,98,55.38,55.38,-24.34,0.91
400,Namwala,100,ZM,1581364489,96,-15.75,-15.75,19.49,1.22
401,Rosario do Sul,0,BR,1581364424,18,-30.26,-30.26,29.7,5.19
402,Qaqortoq,75,GL,1581364492,40,60.72,60.72,-10.0,2.1
403,Ucluelet,20,CA,1581364468,81,48.93,48.93,8.33,1.0
404,Kalanguy,0,RU,1581364496,78,51.02,51.02,-13.43,1.24
405,Bonthe,97,SL,1581364498,77,7.53,7.53,26.84,3.29
406,Port-Gentil,20,GA,1581364499,83,-0.72,-0.72,28.0,2.1
407,Ballina,52,AU,1581364501,94,-28.87,-28.87,22.0,2.6
408,Kloulklubed,100,PW,1581364503,79,7.04,7.04,27.35,10.51
409,Ust'-Omchug,0,RU,1581364505,31,61.15,61.15,-31.17,1.11
410,Tena,75,EC,1581364329,66,-0.98,-0.98,30.0,2.1
411,Kita,20,ML,1581364508,12,13.03,13.03,25.31,1.72
412,Kollam,20,IN,1581364510,88,8.88,8.88,27.0,1.5
413,Comodoro Rivadavia,83,AR,1581364512,53,-45.87,-45.87,22.0,4.1
414,Riyadh,0,SA,1581364223,45,24.69,24.69,13.0,2.6
415,Myitkyina,0,MM,1581364515,93,25.38,25.38,12.63,1.62
416,Moranbah,0,AU,1581364517,77,-22.0,-22.0,25.67,4.17
417,Star Dojran,60,MK,1581364519,86,41.19,41.19,8.89,1.81
418,Nadym,100,RU,1581364520,94,65.53,65.53,-12.62,5.57
419,Chicama,20,PE,1581364522,83,-7.84,-7.84,23.0,5.1
420,Laas,75,IT,1581364524,51,46.62,46.62,6.0,3.1
421,Doha,75,QA,1581364525,45,25.29,25.29,18.89,6.7
422,Macenta,69,GN,1581364527,19,8.54,8.54,24.88,1.05
423,Ambon,20,ID,1581364529,83,-3.7,-3.7,26.0,1.0
424,The Valley,20,AI,1581364507,65,18.22,18.22,28.33,7.7
425,Kapit,97,MY,1581364532,99,2.02,2.02,21.3,0.24
426,Kisaran,91,ID,1581364534,96,2.98,2.98,23.02,0.71
427,Gordeyevka,100,RU,1581364536,95,52.96,52.96,2.56,8.44
428,Zhigansk,100,RU,1581364537,97,66.77,66.77,-17.98,2.74
429,Diffa,0,NE,1581364539,17,13.32,13.32,21.5,6.31
430,Rehoboth,0,NA,1581364260,35,-23.32,-23.32,23.45,7.16
431,Chaoyang,0,CN,1581364543,84,41.57,41.57,-2.63,2.43
432,Yuancheng,100,CN,1581364544,49,36.65,36.65,-0.45,0.83
433,Atambua,100,ID,1581364546,86,-9.11,-9.11,23.25,0.43
434,Matay,26,EG,1581364548,75,28.42,28.42,7.83,3.91
435,Kattivakkam,20,IN,1581364550,74,13.22,13.22,27.22,4.1
436,Ambovombe,30,MG,1581364551,89,-25.17,-25.17,20.27,0.84
437,High Prairie,90,CA,1581364553,85,55.43,55.43,-2.1,3.48
438,Kyra,0,RU,1581364555,75,49.58,49.58,-10.81,1.86
439,Barranca,100,PE,1581364557,91,-10.75,-10.75,21.49,6.1
440,Klaksvik,100,FO,1581364558,67,62.23,62.23,2.0,0.5
441,Utiel,0,ES,1581364560,87,39.57,39.57,15.0,1.0
442,Kasongo-Lunda,99,CD,1581364562,96,-6.47,-6.47,20.69,0.47
443,Kamaishi,0,JP,1581364564,58,39.27,39.27,-3.22,4.18
444,Molina,0,CL,1581364565,29,-35.12,-35.12,35.0,2.6
445,Kununurra,100,AU,1581364567,88,-15.77,-15.77,28.0,3.1
446,Sampit,91,ID,1581364569,96,-2.53,-2.53,23.01,0.86
447,St Austell,20,GB,1581364571,75,50.34,50.34,7.78,12.9
448,Mahibadhoo,10,MV,1581364573,75,3.78,3.78,27.49,9.61
449,Luocheng,9,CN,1581364574,85,29.38,29.38,9.29,1.54
450,Opuwo,0,NA,1581364576,32,-18.06,-18.06,20.52,4.02
451,Luzhou,44,CN,1581364578,88,28.87,28.87,9.04,0.68
452,Saint Anthony,90,US,1581364580,73,45.02,45.02,-0.56,3.6
453,Papar,75,MY,1581364582,88,5.73,5.73,23.33,2.1
454,Rio Grande,75,BR,1581364583,50,-32.03,-32.03,25.0,6.2
455,Rebrikha,33,RU,1581364585,97,53.07,53.07,-21.85,2.18
456,Nalvo,29,PH,1581364587,69,16.81,16.81,18.89,1.78
457,Tigre,40,AR,1581364589,53,-34.43,-34.43,27.22,3.6
458,Yulara,0,AU,1581364590,51,-25.24,-25.24,28.0,4.6
459,Sun Valley,1,US,1581364592,32,39.6,39.6,6.67,2.6
460,Herat,75,AF,1581364594,87,34.5,34.5,6.0,1.5
461,Enid,1,US,1581364524,48,36.4,36.4,6.67,4.1
462,Muskogee,90,US,1581364597,75,35.58,35.58,7.22,3.6
463,Muroto,0,JP,1581364599,82,33.28,33.28,1.26,2.51
464,Tessalit,100,ML,1581364601,29,20.2,20.2,23.33,3.96
465,Hobyo,99,SO,1581364603,76,5.35,5.35,24.38,6.33
466,Naze,75,JP,1581364604,59,28.37,28.37,16.0,3.6
467,Benghazi,0,LY,1581364606,69,32.12,32.12,14.9,4.8
468,Ca Mau,89,VN,1581364608,79,9.18,9.18,24.49,4.1
469,Sittwe,0,MM,1581364609,47,20.15,20.15,19.19,3.41
470,Utete,33,TZ,1581364611,96,-7.99,-7.99,23.44,0.51
471,Vega de Alatorre,0,MX,1581364613,80,20.03,20.03,24.12,6.45
472,Tukrah,19,LY,1581364615,79,32.53,32.53,12.77,5.02
473,Abha,11,SA,1581364616,87,18.22,18.22,14.0,5.1
474,Sapa,100,PH,1581364618,72,5.15,5.15,27.35,1.88
475,Provincia di Mantova,0,IT,1581364599,100,45.17,45.17,9.44,1.5
476,Anloga,20,GH,1581364622,83,5.79,5.79,29.0,3.1
477,Petropavlovsk-Kamchatsky,100,RU,1581364624,48,53.05,53.05,-6.0,14.0
478,Maumere,100,ID,1581364625,80,-8.62,-8.62,23.95,0.8
479,Erechim,40,BR,1581364627,65,-27.63,-27.63,26.0,4.1
480,Izmit,67,TR,1581364480,60,40.77,40.77,6.0,4.1
481,San Andres,75,CO,1581364408,74,12.58,12.58,29.0,6.7
482,Phalaborwa,100,ZA,1581364632,94,-23.94,-23.94,20.35,7.23
483,Ruthin,40,GB,1581364634,64,53.11,53.11,5.56,8.2
484,Touros,20,BR,1581364636,66,-5.2,-5.2,31.0,7.2
485,Presidencia Roque Saenz Pena,84,AR,1581364638,32,-26.79,-26.79,29.67,2.7
486,Bowen,90,AU,1581364639,94,-20.02,-20.02,25.0,3.6
487,Moindou,100,NC,1581364641,88,-21.69,-21.69,25.0,1.5
488,Silver City,75,US,1581364496,58,32.77,32.77,12.22,3.6
489,Oodweyne,0,SO,1581364645,36,9.41,9.41,20.85,5.01
490,Seoul,1,KR,1581364501,79,37.57,37.57,0.0,0.5
491,Sibu,75,MY,1581364648,94,2.3,2.3,24.0,1.0
492,Wundanyi,67,KE,1581364650,75,-3.4,-3.4,22.58,1.09
493,Adre,22,TD,1581364652,21,13.47,13.47,15.89,8.67
494,Tilichiki,100,RU,1581364653,76,60.47,60.47,-25.45,6.48
495,Myatlevo,90,RU,1581364655,74,54.9,54.9,-1.0,7.0
496,Grand Gaube,75,MU,1581364657,88,-20.01,-20.01,26.0,5.7
497,Pochutla,5,MX,1581364658,46,15.74,15.74,32.0,4.1
498,Sibolga,55,ID,1581364660,96,1.74,1.74,21.16,1.4
499,Vadso,75,NO,1581364662,86,70.07,70.07,3.0,8.2
500,Savannakhet,98,LA,1581364664,77,16.57,16.57,20.22,3.13
501,Paveh,27,IR,1581364666,81,35.04,35.04,-15.93,1.64
502,Leek,75,NL,1581364667,100,53.16,53.16,4.0,3.1
503,Staraya Russa,100,RU,1581364669,91,57.99,57.99,3.63,5.62
504,Kalmunai,97,LK,1581364671,74,7.42,7.42,26.85,6.4
505,Lerwick,75,GB,1581364672,80,60.15,60.15,5.0,10.8
506,Mahon,0,ES,1581364674,87,39.89,39.89,14.0,3.6
507,Hwange,100,ZW,1581364676,95,-18.37,-18.37,20.64,1.1
508,Makakilo City,75,US,1581364678,82,21.35,21.35,20.56,9.3
509,'Ewa Beach,75,US,1581364601,82,21.32,21.32,20.56,9.3
510,Rocha,99,UY,1581364681,62,-34.48,-34.48,19.86,4.53
511,Zamora,44,EC,1581364683,89,-4.07,-4.07,17.65,1.62
512,Saint Andrews,40,US,1581364684,67,34.05,34.05,22.22,3.67
513,Wanning,97,CN,1581364686,93,18.8,18.8,20.03,3.18
514,Upata,71,VE,1581364688,46,8.01,8.01,28.95,3.25
515,Arsk,100,RU,1581364690,85,56.09,56.09,-6.0,7.0
516,Dubrovka,100,RU,1581364691,94,53.69,53.69,1.48,7.21
517,Nantucket,90,US,1581364693,75,41.28,41.28,8.0,8.2
518,Margate,40,GB,1581364695,93,51.38,51.38,5.56,7.7
519,Amahai,100,ID,1581364696,72,-3.33,-3.33,28.19,6.99
520,Okhotsk,26,RU,1581364698,66,59.38,59.38,-24.45,2.48
521,Chuzhou,100,CN,1581364700,76,32.32,32.32,11.67,0.45
522,Zhenlai,98,CN,1581364702,95,45.85,45.85,-10.31,4.39
523,Vidim,100,RU,1581364704,95,56.41,56.41,-16.13,2.95
524,Lydenburg,100,ZA,1581364705,90,-25.1,-25.1,15.39,2.62
525,Palmer,90,US,1581364707,86,42.16,42.16,7.22,7.7
526,Coahuayana Viejo,20,MX,1581364709,54,18.73,18.73,27.0,2.53
527,Mayumba,72,GA,1581364711,73,-3.43,-3.43,28.61,2.7
528,Cotonou,20,BJ,1581364712,88,6.37,6.37,28.0,3.6
529,Pangnirtung,20,CA,1581364714,67,66.15,66.15,-30.0,1.04
530,Dengzhou,0,CN,1581364716,71,37.81,37.81,6.96,6.03
531,Balaipungut,100,ID,1581364718,98,1.05,1.05,22.78,0.19
532,Sao Paulo de Olivenca,100,BR,1581364719,48,-3.38,-3.38,33.13,0.91
533,Kayerkan,20,RU,1581364721,75,69.35,69.35,-29.0,3.0
534,Atlantis,0,ZA,1581364723,88,-33.57,-33.57,20.56,7.2
535,Malpe,0,IN,1581364724,78,13.35,13.35,25.0,2.1
536,Belmonte,20,BR,1581364726,66,-15.86,-15.86,31.0,7.2
537,Ridgecrest,20,US,1581364728,11,35.62,35.62,16.67,13.4
538,Svetlogorsk,100,BY,1581364730,92,52.63,52.63,3.29,5.64
539,Mae Hong Son,90,TH,1581364732,61,19.3,19.3,14.71,0.96
540,Kargalinskaya,0,RU,1581364733,82,43.74,43.74,-10.61,1.81
541,Soeng Sang,75,TH,1581364735,38,14.43,14.43,26.11,3.2
542,Sinnamary,2,GF,1581364737,83,5.38,5.38,26.14,6.81
543,Kandry,100,RU,1581364739,92,54.57,54.57,-7.8,5.91
544,Port Hedland,40,AU,1581364740,88,-20.32,-20.32,26.0,3.1
545,Havelock,40,US,1581364742,52,34.88,34.88,22.0,7.7
546,Kathmandu,20,NP,1581364744,87,27.72,27.72,6.0,1.5
547,Pitimbu,75,BR,1581364746,66,-7.47,-7.47,31.0,5.7
548,Simao,0,CN,1581364748,88,22.79,22.79,9.78,1.1
549,Katsuura,20,JP,1581364750,56,35.13,35.13,5.56,4.6
550,Taman,20,RU,1581364751,69,45.21,45.21,1.0,8.0
551,Mimongo,82,GA,1581364753,95,-1.62,-1.62,20.91,0.57
